Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1690.2340862385327
FDW14,OUT017,1481.8506141732275
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2649.1102324324333
FDY38,OUT027,6280.89088
FDH56,OUT046,1922.149381714284
FDL48,OUT018,713.8586545454549
FDC48,OUT027,2517.8820884848496
FDN33,OUT045,1559.3429752688176
FDA36,OUT017,2752.970934653465
FDT44,OUT017,1922.149381714284
FDQ56,OUT045,1481.8506141732275
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2142.7435709401716
DRL59,OUT013,713.8586545454549
FDM24,OUT049,2286.4132673684203
FDI57,OUT045,3130.0049049504933
DRC12,OUT018,2893.83982589928
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.6995426229509
FDA31,OUT013,2851.6316958762886
NCJ31,OUT035,3737.295775182481
FDG52,OUT046,798.2176035398229
NCL19,OUT019,281.48208181818165
FDS10,OUT035,3384.1080642424236
FDX22,OUT010,584.7577647727275
NCF19,OUT035,798.2176035398229
NCE06,OUT046,2503.5013364485976
DRC27,OUT046,4109.9006062176195
FDE21,OUT035,1922.149381714284
NCR42,OUT019,92.67548155339806
FDX51,OUT018,2893.83982589928
NCR06,OUT018,507.0464036697247
FDU31,OUT027,5329.3147244444435
FDU59,OUT017,2503.5013364485976
FDR03,OUT027,5329.3147244444435
FDS49,OUT027,2517.8820884848496
FDD48,OUT010,281.48208181818165
NCF18,OUT017,2939.3484761904742
NCD43,OUT027,2517.8820884848496
NCD54,OUT018,1752.2524400000004
FDY19,OUT010,281.48208181818165
NCY54,OUT017,2851.6316958762886
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1511.8747716981138
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3384.1080642424236
FDF41,OUT035,3737.295775182481
FDU34,OUT046,1987.2510486486474
DRH11,OUT046,935.0323883040935
FDM03,OUT013,1511.8747716981138
FDS31,OUT017,3384.1080642424236
FDJ20,OUT017,2142.7435709401716
FDV44,OUT027,5329.3147244444435
FDG02,OUT049,2752.970934653465
FDA09,OUT013,2851.6316958762886
FDT04,OUT013,507.0464036697247
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1424.5946902777775
FDW12,OUT035,2286.4132673684203
FDL51,OUT017,3753.0000993630556
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1559.3429752688176
FDN40,OUT045,2286.4132673684203
FDB35,OUT027,2517.8820884848496
FDA22,OUT017,2286.4132673684203
NCL06,OUT046,4034.300306896551
FDI35,OUT013,3384.1080642424236
NCW42,OUT045,3753.0000993630556
NCX06,OUT049,2568.3328336448612
FDC37,OUT027,2517.8820884848496
FDZ14,OUT018,1752.2524400000004
DRG49,OUT049,3454.062559154929
NCG06,OUT045,4034.300306896551
DRC36,OUT045,2851.6316958762886
FDV21,OUT019,281.48208181818165
FDB53,OUT046,2660.9504030303033
DRP47,OUT019,584.7577647727275
FDA14,OUT013,2660.9504030303033
DRC24,OUT035,2660.9504030303033
FDW21,OUT018,1372.6884907407405
NCH29,OUT046,1559.3429752688176
FDU58,OUT013,2893.83982589928
FDY27,OUT017,2851.6316958762886
FDV56,OUT035,1784.428738181819
FDT59,OUT046,4109.9006062176195
FDB23,OUT046,3753.0000993630556
FDR49,OUT045,798.2176035398229
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.7477006992995
FDX02,OUT027,5329.3147244444435
FDQ16,OUT027,2517.8820884848496
FDU35,OUT018,1372.6884907407405
NCT29,OUT013,1987.2510486486474
FDZ27,OUT046,798.2176035398229
FDN57,OUT017,2309.2007980000008
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3384.1080642424236
NCU05,OUT013,1243.0689297709916
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1559.3429752688176
FDZ25,OUT017,2894.2207107142854
FDG12,OUT046,2243.6695967213113
DRB01,OUT019,482.6995426229509
NCC43,OUT027,6280.89088
FDX13,OUT019,584.7577647727275
FDM22,OUT049,796.6402682539681
FDJ03,OUT027,1378.2631852760744
FDU14,OUT018,3327.952582926828
FDB33,OUT010,346.89728372093026
FDP27,OUT046,3391.5912527272717
FDO38,OUT010,165.91858165137612
FDE28,OUT027,6280.89088
FDO27,OUT035,1559.3429752688176
DRL23,OUT027,2517.8820884848496
FDS28,OUT046,935.0323883040935
FDX24,OUT013,1481.8506141732275
FDZ02,OUT035,1559.3429752688176
FDL46,OUT045,1827.8328454545451
FDS60,OUT027,5329.3147244444435
NCO06,OUT017,583.8145788617886
FDO16,OUT035,1481.8506141732275
FDC60,OUT049,1259.5490513157897
FDA48,OUT018,3327.952582926828
FDZ36,OUT027,5329.3147244444435
FDK27,OUT045,1827.8328454545451
FDW23,OUT018,507.0464036697247
FDM14,OUT018,1372.6884907407405
FDM14,OUT013,1690.2340862385327
FDW60,OUT018,2851.6316958762886
FDE21,OUT013,1922.149381714284
NCM42,OUT035,1879.0540499999993
FDY59,OUT010,219.2185209302325
DRI49,OUT049,1259.5490513157897
FDT28,OUT019,346.89728372093026
FDQ22,OUT018,507.0464036697247
FDR60,OUT049,1259.5490513157897
FDC50,OUT019,219.2185209302325
FDV24,OUT013,2503.5013364485976
DRF48,OUT010,482.6995426229509
FDQ47,OUT046,583.8145788617886
DRN36,OUT049,1559.3429752688176
NCY06,OUT035,1987.2510486486474
FDE52,OUT035,1424.5946902777775
NCB54,OUT045,1827.8328454545451
NCF31,OUT035,2286.4132673684203
FDJ08,OUT027,5329.3147244444435
NCC07,OUT017,1690.2340862385327
NCD19,OUT027,1378.2631852760744
FDL46,OUT049,1987.2510486486474
FDM20,OUT045,4109.9006062176195
NCI06,OUT010,425.9355914529914
DRM11,OUT035,4433.30403265306
NCH07,OUT018,2232.8470218487396
FDS23,OUT013,2142.7435709401716
FDO49,OUT018,713.8586545454549
FDS35,OUT049,1103.1862133333334
DRK39,OUT045,1481.8506141732275
DRI39,OUT049,796.6402682539681
FDV04,OUT017,2503.5013364485976
NCN14,OUT035,3384.1080642424236
FDH08,OUT013,4109.9006062176195
FDS20,OUT046,3384.1080642424236
FDV40,OUT049,1103.1862133333334
FDZ48,OUT010,281.48208181818165
FDS24,OUT027,2517.8820884848496
FDK44,OUT049,2568.3328336448612
FDS48,OUT045,2660.9504030303033
