Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1844.0
FDW14,OUT017,1572.0
NCN55,OUT010,1876.0
FDQ58,OUT017,2592.0
FDY38,OUT027,5176.0
FDH56,OUT046,1912.0
FDL48,OUT018,592.0
FDC48,OUT027,2780.0
FDN33,OUT045,1524.0
FDA36,OUT017,3088.0
FDT44,OUT017,2004.0
FDQ56,OUT045,1332.0
NCC54,OUT019,1852.0
FDU11,OUT049,2048.0
DRL59,OUT013,904.0
FDM24,OUT049,2544.0
FDI57,OUT045,3104.0
DRC12,OUT018,2760.0
NCM42,OUT027,3188.0
FDA46,OUT010,1140.0
FDA31,OUT013,2816.0
NCJ31,OUT035,3892.0
FDG52,OUT046,800.0
NCL19,OUT019,356.0
FDS10,OUT035,3032.0
FDX22,OUT010,1452.0
NCF19,OUT035,932.0
NCE06,OUT046,2532.0
DRC27,OUT046,3844.0
FDE21,OUT035,2036.0
NCR42,OUT019,-1364.0
FDX51,OUT018,2856.0
NCR06,OUT018,420.0
FDU31,OUT027,4936.0
FDU59,OUT017,2720.0
FDR03,OUT027,4744.0
FDS49,OUT027,2756.0
FDD48,OUT010,-68.0
NCF18,OUT017,3124.0
NCD43,OUT027,3092.0
NCD54,OUT018,1984.0
FDY19,OUT010,-32.0
NCY54,OUT017,2824.0
NCL19,OUT018,2012.0
FDP23,OUT010,1532.0
FDC26,OUT013,1836.0
FDR14,OUT010,-1020.0
NCS41,OUT035,3036.0
FDF41,OUT035,4060.0
FDU34,OUT046,1996.0
DRH11,OUT046,924.0
FDM03,OUT013,1752.0
FDS31,OUT017,3028.0
FDJ20,OUT017,2104.0
FDV44,OUT027,4480.0
FDG02,OUT049,3096.0
FDA09,OUT013,2916.0
FDT04,OUT013,692.0
FDL58,OUT019,2284.0
FDE52,OUT045,1456.0
FDW12,OUT035,2508.0
FDL51,OUT017,3556.0
NCY42,OUT027,3684.0
FDR07,OUT017,1676.0
FDN40,OUT045,2380.0
FDB35,OUT027,2948.0
FDA22,OUT017,2744.0
NCL06,OUT046,4108.0
FDI35,OUT013,2928.0
NCW42,OUT045,3428.0
NCX06,OUT049,2932.0
FDC37,OUT027,3200.0
FDZ14,OUT018,1720.0
DRG49,OUT049,3948.0
NCG06,OUT045,3972.0
DRC36,OUT045,2736.0
FDV21,OUT019,60.0
FDB53,OUT046,2352.0
DRP47,OUT019,2044.0
FDA14,OUT013,2360.0
DRC24,OUT035,2584.0
FDW21,OUT018,1392.0
NCH29,OUT046,1548.0
FDU58,OUT013,3076.0
FDY27,OUT017,2940.0
FDV56,OUT035,1956.0
FDT59,OUT046,3652.0
FDB23,OUT046,3612.0
FDR49,OUT045,716.0
FDB03,OUT010,1920.0
FDN39,OUT045,2632.0
FDX02,OUT027,4980.0
FDQ16,OUT027,3192.0
FDU35,OUT018,1324.0
NCT29,OUT013,1968.0
FDZ27,OUT046,812.0
FDN57,OUT017,2360.0
FDA03,OUT018,2084.0
FDZ36,OUT045,2936.0
NCU05,OUT013,1332.0
FDT39,OUT018,2176.0
FDK60,OUT017,1716.0
FDZ25,OUT017,2848.0
FDG12,OUT046,2000.0
DRB01,OUT019,1116.0
NCC43,OUT027,5368.0
FDX13,OUT019,2028.0
FDM22,OUT049,1020.0
FDJ03,OUT027,2304.0
FDU14,OUT018,3672.0
FDB33,OUT010,636.0
FDP27,OUT046,3008.0
FDO38,OUT010,-664.0
FDE28,OUT027,5136.0
FDO27,OUT035,1712.0
DRL23,OUT027,3172.0
FDS28,OUT046,960.0
FDX24,OUT013,1552.0
FDZ02,OUT035,1756.0
FDL46,OUT045,1836.0
FDS60,OUT027,4296.0
NCO06,OUT017,648.0
FDO16,OUT035,1540.0
FDC60,OUT049,1536.0
FDA48,OUT018,3196.0
FDZ36,OUT027,4440.0
FDK27,OUT045,1900.0
FDW23,OUT018,380.0
FDM14,OUT018,1504.0
FDM14,OUT013,1796.0
FDW60,OUT018,2588.0
FDE21,OUT013,1924.0
NCM42,OUT035,1892.0
FDY59,OUT010,-384.0
DRI49,OUT049,1380.0
FDT28,OUT019,508.0
FDQ22,OUT018,404.0
FDR60,OUT049,1332.0
FDC50,OUT019,-396.0
FDV24,OUT013,2456.0
DRF48,OUT010,1072.0
FDQ47,OUT046,640.0
DRN36,OUT049,1652.0
NCY06,OUT035,2184.0
FDE52,OUT035,1652.0
NCB54,OUT045,1956.0
NCF31,OUT035,2560.0
FDJ08,OUT027,4452.0
NCC07,OUT017,1800.0
NCD19,OUT027,2324.0
FDL46,OUT049,2004.0
FDM20,OUT045,3844.0
NCI06,OUT010,924.0
DRM11,OUT035,4232.0
NCH07,OUT018,2208.0
FDS23,OUT013,2100.0
FDO49,OUT018,584.0
FDS35,OUT049,1160.0
DRK39,OUT045,1280.0
DRI39,OUT049,1036.0
FDV04,OUT017,2648.0
NCN14,OUT035,3020.0
FDH08,OUT013,3704.0
FDS20,OUT046,2904.0
FDV40,OUT049,1336.0
FDZ48,OUT010,-136.0
FDS24,OUT027,2908.0
FDK44,OUT049,2852.0
FDS48,OUT045,2360.0
FDK26,OUT010,1096.0
FDD23,OUT045,2984.0
NCH54,OUT017,2648.0
NCP14,OUT010,-244.0
FDM60,OUT010,-1200.0
FDV24,OUT017,2516.0
FDH08,OUT018,3348.0
FDS12,OUT027,3472.0
FDR39,OUT027,4316.0
FDP12,OUT027,2116.0
DRF60,OUT027,5176.0
FDC09,OUT035,1860.0
FDF50,OUT018,2856.0
FDG28,OUT035,4048.0
NCE19,OUT017,996.0
NCM53,OUT010,-196.0
NCN18,OUT049,1840.0
FDF32,OUT035,3312.0
FDF11,OUT013,3868.0
DRI59,OUT049,3640.0
NCG54,OUT035,2816.0
FDM44,OUT046,1640.0
FDT57,OUT018,3464.0
FDV24,OUT046,2400.0
FDI50,OUT019,1748.0
FDS09,OUT035,1044.0
NCC31,OUT027,3888.0
FDQ07,OUT019,1588.0
FDC22,OUT017,3176.0
FDZ56,OUT046,2696.0
FDZ40,OUT019,-996.0
FDS46,OUT027,3388.0
DRD24,OUT045,2188.0
FDV45,OUT017,3116.0
FDL26,OUT045,2432.0
FDA56,OUT018,1704.0
FDN27,OUT046,1900.0
FDM20,OUT049,3964.0
FDO16,OUT017,1468.0
FDL03,OUT035,3304.0
FDE58,OUT046,1880.0
FDI02,OUT027,3280.0
NCC55,OUT019,-1268.0
FDR03,OUT018,3028.0
FDB14,OUT017,1644.0
FDR45,OUT013,3856.0
NCN07,OUT017,2168.0
FDM51,OUT019,-204.0
FDT52,OUT027,5356.0
FDL26,OUT046,2456.0
NCZ42,OUT046,3752.0
DRI47,OUT019,420.0
FDW40,OUT013,2324.0
FDN34,OUT046,2728.0
FDS01,OUT035,3000.0
NCG55,OUT045,1792.0
FDC11,OUT035,1564.0
FDX35,OUT018,3332.0
NCB06,OUT046,2520.0
FDR09,OUT019,2196.0
FDC53,OUT017,1688.0
FDY45,OUT013,4080.0
FDA22,OUT010,760.0
FDE02,OUT035,1688.0
FDW21,OUT045,1628.0
FDV34,OUT046,1248.0
FDS59,OUT049,1892.0
NCW17,OUT017,2140.0
NCK54,OUT046,1856.0
FDG17,OUT019,1996.0
FDG35,OUT017,2912.0
FDD08,OUT010,-1256.0
NCO07,OUT017,3432.0
FDJ10,OUT010,372.0
FDW36,OUT017,1792.0
FDW21,OUT010,-228.0
FDY19,OUT017,2012.0
DRE03,OUT013,828.0
NCC55,OUT049,716.0
FDH52,OUT010,-824.0
FDO09,OUT017,4312.0
FDU43,OUT045,3772.0
FDX09,OUT010,868.0
FDH40,OUT019,-516.0
FDW58,OUT017,1808.0
FDC47,OUT017,3696.0
NCR41,OUT035,1664.0
DRG49,OUT035,4004.0
FDC52,OUT027,3924.0
FDY13,OUT046,1224.0
FDY35,OUT013,832.0
FDI35,OUT017,3004.0
NCU18,OUT049,2324.0
FDY33,OUT018,2276.0
FDC15,OUT027,3936.0
FDU01,OUT049,3100.0
NCU42,OUT046,2672.0
NCV29,OUT018,2520.0
NCY30,OUT017,2992.0
FDQ46,OUT049,1888.0
FDG58,OUT027,3932.0
FDK33,OUT017,3500.0
NCD07,OUT045,1780.0
NCX29,OUT027,3716.0
NCT42,OUT013,2384.0
DRN59,OUT035,916.0
FDI44,OUT035,1440.0
FDA45,OUT049,2908.0
FDP31,OUT045,1052.0
FDY01,OUT046,1864.0
FDT09,OUT018,1892.0
DRH03,OUT027,2976.0
FDA36,OUT018,2696.0
NCF31,OUT017,2528.0
FDG14,OUT049,2544.0
FDG28,OUT027,5364.0
FDU14,OUT049,4048.0
FDY47,OUT019,236.0
FDI56,OUT049,1552.0
DRD01,OUT013,1000.0
FDM22,OUT046,952.0
FDH33,OUT013,748.0
DRZ24,OUT013,1924.0
NCQ38,OUT046,1676.0
FDO16,OUT027,2824.0
FDU07,OUT027,3832.0
NCB07,OUT013,3092.0
FDU48,OUT045,2068.0
NCM43,OUT045,2556.0
FDR31,OUT010,432.0
DRK49,OUT018,412.0
NCI30,OUT010,1924.0
DRD60,OUT017,2980.0
NCG19,OUT046,3672.0
FDH12,OUT035,1844.0
FDM32,OUT035,1652.0
FDM27,OUT035,2660.0
NCU53,OUT027,4056.0
NCQ18,OUT046,1556.0
FDS10,OUT013,2896.0
FDB33,OUT027,3968.0
FDI12,OUT013,1464.0
NCW42,OUT013,3516.0
NCC06,OUT018,1756.0
FDW02,OUT017,2168.0
NCD43,OUT017,1772.0
FDM57,OUT018,1104.0
FDA58,OUT017,3848.0
FDK56,OUT046,2924.0
FDP52,OUT045,3644.0
FDW20,OUT018,1720.0
FDS52,OUT049,1724.0
NCT29,OUT018,1612.0
NCL54,OUT013,2812.0
FDC05,OUT045,3124.0
FDF34,OUT035,3320.0
FDP03,OUT027,3480.0
FDD32,OUT010,-516.0
FDZ10,OUT045,2000.0
FDZ40,OUT035,1064.0
FDD51,OUT018,452.0
NCY30,OUT019,932.0
FDP58,OUT017,3548.0
FDV49,OUT017,4288.0
FDY24,OUT019,-1012.0
NCO55,OUT017,1804.0
FDR13,OUT017,2028.0
FDS51,OUT017,1144.0
FDP26,OUT045,1624.0
NCB54,OUT027,3488.0
FDF32,OUT017,3236.0
FDN31,OUT018,2720.0
DRM48,OUT017,708.0
FDN20,OUT049,2788.0
DRL01,OUT046,3700.0
FDV56,OUT049,1868.0
DRH13,OUT027,3180.0
FDA03,OUT017,2476.0
FDF47,OUT027,4984.0
FDX32,OUT046,2364.0
FDX57,OUT049,1692.0
NCA30,OUT045,2932.0
FDO49,OUT013,912.0
FDL04,OUT019,-220.0
DRM48,OUT035,772.0
FDR16,OUT013,3428.0
NCC19,OUT018,2736.0
NCE42,OUT045,3652.0
FDY24,OUT017,1048.0
FDH19,OUT049,2888.0
FDJ46,OUT013,2804.0
FDN45,OUT010,1624.0
FDY08,OUT035,2408.0
FDZ37,OUT035,1608.0
NCT30,OUT045,716.0
DRY23,OUT018,444.0
NCZ30,OUT018,1648.0
FDC44,OUT018,1524.0
FDB45,OUT035,1852.0
FDY04,OUT013,2680.0
FDM27,OUT046,2544.0
FDZ43,OUT017,3960.0
FDT39,OUT019,556.0
NCC06,OUT019,112.0
FDL15,OUT027,3900.0
FDL57,OUT017,4212.0
FDU08,OUT046,1600.0
FDK40,OUT017,4284.0
FDQ12,OUT010,1720.0
FDS48,OUT017,2532.0
FDP09,OUT045,3316.0
FDW21,OUT049,1740.0
FDY25,OUT035,3036.0
DRE13,OUT017,1492.0
FDV43,OUT019,-1180.0
FDD22,OUT045,1744.0
FDM46,OUT019,-436.0
NCO30,OUT010,1008.0
FDM25,OUT046,2796.0
NCN41,OUT049,2036.0
FDU24,OUT045,1484.0
FDZ50,OUT046,2948.0
FDP45,OUT013,4056.0
NCM54,OUT045,1944.0
FDW10,OUT019,884.0
FDP20,OUT017,2168.0
FDK32,OUT046,2444.0
FDN52,OUT049,1540.0
FDM58,OUT045,1776.0
FDZ46,OUT027,3232.0
NCA18,OUT018,1572.0
FDD35,OUT046,1960.0
NCK31,OUT035,960.0
FDI40,OUT027,3096.0
FDT50,OUT019,-300.0
NCT06,OUT046,2596.0
FDT31,OUT035,3148.0
FDT45,OUT049,980.0
FDT13,OUT045,2932.0
FDO50,OUT045,1424.0
NCU18,OUT010,308.0
NCR54,OUT049,3152.0
NCO18,OUT018,2528.0
FDU09,OUT045,924.0
FDT13,OUT018,2704.0
FDE09,OUT046,1808.0
NCK53,OUT019,-292.0
FDG45,OUT049,3460.0
DRH15,OUT035,892.0
FDO21,OUT019,1692.0
FDD14,OUT027,4356.0
FDC09,OUT046,1700.0
FDH45,OUT027,2208.0
FDV32,OUT046,1064.0
FDG12,OUT035,2116.0
FDS32,OUT013,2324.0
NCL55,OUT018,3652.0
DRE01,OUT035,3968.0
DRE15,OUT049,1344.0
NCL42,OUT045,3828.0
FDP31,OUT013,1116.0
FDN33,OUT018,1256.0
FDZ59,OUT046,2648.0
FDE45,OUT010,928.0
FDJ07,OUT013,1952.0
FDQ45,OUT018,2692.0
FDM33,OUT027,4912.0
FDO15,OUT010,-624.0
FDM46,OUT013,1524.0
FDR03,OUT045,3256.0
FDY49,OUT018,2416.0
FDQ60,OUT045,1888.0
FDW10,OUT049,2892.0
FDO51,OUT049,888.0
FDJ40,OUT018,1512.0
FDS20,OUT018,2616.0
FDU45,OUT013,1892.0
FDV02,OUT035,2852.0
FDN09,OUT046,3828.0
NCM55,OUT027,4380.0
FDN23,OUT018,2060.0
FDY31,OUT010,408.0
FDW03,OUT010,-152.0
FDD14,OUT046,2888.0
FDV23,OUT017,2120.0
DRI03,OUT045,2736.0
FDN13,OUT035,1744.0
FDF45,OUT027,2484.0
FDU46,OUT035,1624.0
FDB57,OUT049,3656.0
FDV12,OUT049,1740.0
FDQ58,OUT013,2460.0
NCA18,OUT017,1944.0
FDH52,OUT049,1144.0
FDM24,OUT018,2148.0
NCP43,OUT027,4300.0
NCO18,OUT019,884.0
FDM32,OUT017,1600.0
NCL07,OUT017,736.0
FDK03,OUT013,4072.0
FDP59,OUT017,1800.0
FDQ24,OUT049,4048.0
FDQ16,OUT018,1492.0
FDU44,OUT013,2636.0
FDH28,OUT010,-1232.0
FDV28,OUT019,-1284.0
FDM22,OUT045,892.0
FDR56,OUT046,3136.0
FDV39,OUT049,3224.0
FDU37,OUT019,-572.0
FDQ11,OUT010,2176.0
FDX02,OUT045,3488.0
NCS42,OUT018,1188.0
FDY57,OUT027,3008.0
FDB21,OUT049,3896.0
FDE28,OUT017,3768.0
FDQ55,OUT017,1980.0
FDA48,OUT049,3604.0
FDZ19,OUT045,2716.0
NCC43,OUT045,3900.0
NCV18,OUT046,1292.0
NCA42,OUT018,2228.0
FDY45,OUT046,4048.0
NCC30,OUT045,2768.0
FDM57,OUT013,1464.0
FDL09,OUT010,756.0
FDB09,OUT027,3452.0
