Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1881.4459417204457
FDW14,OUT017,1603.986352239021
NCN55,OUT010,1838.3300465608736
FDQ58,OUT017,2573.2245464890825
FDY38,OUT027,5080.587978645368
FDH56,OUT046,1932.593636163618
FDL48,OUT018,676.9387644096644
FDC48,OUT027,2800.1661249263934
FDN33,OUT045,1540.8571592515134
FDA36,OUT017,3047.6051469630456
FDT44,OUT017,2006.5428425658426
FDQ56,OUT045,1352.4582586234474
NCC54,OUT019,1810.48879073921
FDU11,OUT049,2067.603522600012
DRL59,OUT013,957.3559553612665
FDM24,OUT049,2546.236163921438
FDI57,OUT045,3049.610062365287
DRC12,OUT018,2729.3283240274986
NCM42,OUT027,3190.4487622231036
FDA46,OUT010,1128.2584753789442
FDA31,OUT013,2776.3917864620175
NCJ31,OUT035,3797.222769605418
FDG52,OUT046,864.6655338149707
NCL19,OUT019,398.45715105147144
FDS10,OUT035,2992.371307909056
FDX22,OUT010,1446.049652668889
NCF19,OUT035,989.5360243333699
NCE06,OUT046,2509.3548446621453
DRC27,OUT046,3758.9957582901534
FDE21,OUT035,2043.8169241890844
NCR42,OUT019,-1247.4704239241355
FDX51,OUT018,2837.55272015756
NCR06,OUT018,513.4965553135175
FDU31,OUT027,4862.6811189102245
FDU59,OUT017,2686.117444232719
FDR03,OUT027,4681.021179006574
FDS49,OUT027,2771.731956713006
FDD48,OUT010,-10.951696001901496
NCF18,OUT017,3074.541979097419
NCD43,OUT027,3101.3027646608807
NCD54,OUT018,2004.494138849297
FDY19,OUT010,24.631497830815192
NCY54,OUT017,2777.1421536595212
NCL19,OUT018,2028.840572370831
FDP23,OUT010,1514.2490882018924
FDC26,OUT013,1841.8825768778518
FDR14,OUT010,-941.5683289300276
NCS41,OUT035,2993.627878809138
FDF41,OUT035,3961.9034979603916
FDU34,OUT046,2005.8864955641525
DRH11,OUT046,973.2739250539846
FDM03,OUT013,1761.9815025272296
FDS31,OUT017,2991.372665422524
FDJ20,OUT017,2107.5118678231993
FDV44,OUT027,4427.960157645248
FDG02,OUT049,3076.743541578053
FDA09,OUT013,2877.086311293765
FDT04,OUT013,755.7089140155617
FDL58,OUT019,2227.7436061669982
FDE52,OUT045,1485.6702762240213
FDW12,OUT035,2498.4881899761695
FDL51,OUT017,3495.0179237254347
NCY42,OUT027,3663.1445002324626
FDR07,OUT017,1695.8273402461568
FDN40,OUT045,2354.790371765696
FDB35,OUT027,2965.1425820568165
FDA22,OUT017,2713.0282903289485
NCL06,OUT046,4015.3640566084014
FDI35,OUT013,2890.206529198101
NCW42,OUT045,3357.109829740316
NCX06,OUT049,2918.788998103553
FDC37,OUT027,3198.5953568616515
FDZ14,OUT018,1754.9118931494777
DRG49,OUT049,3871.493691313095
NCG06,OUT045,3877.824706677951
DRC36,OUT045,2694.5491406711785
FDV21,OUT019,90.41099074139015
FDB53,OUT046,2337.981050557933
DRP47,OUT019,1971.2064986417972
FDA14,OUT013,2349.2881289180273
DRC24,OUT035,2554.8737503681928
FDW21,OUT018,1444.36229772968
NCH29,OUT046,1577.3949708422754
FDU58,OUT013,3042.272434519194
FDY27,OUT017,2903.0015886584547
FDV56,OUT035,1974.9302134978263
FDT59,OUT046,3586.9630688975253
FDB23,OUT046,3556.3006338467426
FDR49,OUT045,763.3176500163105
FDB03,OUT010,1869.4830889241766
FDN39,OUT045,2602.49542623978
FDX02,OUT027,4894.412164503685
FDQ16,OUT027,3191.009530131504
FDU35,OUT018,1366.116959161206
NCT29,OUT013,1978.0443152908656
FDZ27,OUT046,883.169754515846
FDN57,OUT017,2347.8310467552965
FDA03,OUT018,2102.002447262521
FDZ36,OUT045,2890.060022844115
NCU05,OUT013,1372.4149058187506
FDT39,OUT018,2191.462347528518
FDK60,OUT017,1736.16635306863
FDZ25,OUT017,2822.6245213476654
FDG12,OUT046,2021.8598516988543
DRB01,OUT019,1096.8416486146225
NCC43,OUT027,5259.600028862798
FDX13,OUT019,1984.2839031083845
FDM22,OUT049,1098.582995011722
FDJ03,OUT027,2348.0666923189897
FDU14,OUT018,3608.0808213905516
FDB33,OUT010,664.7774187427608
FDP27,OUT046,2964.90629232009
FDO38,OUT010,-582.7156799822951
FDE28,OUT027,5043.85073463339
FDO27,OUT035,1724.1760035571124
DRL23,OUT027,3162.9637256956703
FDS28,OUT046,1020.5594322131856
FDX24,OUT013,1582.7312974183683
FDZ02,OUT035,1779.4756535096737
FDL46,OUT045,1837.6285533964967
FDS60,OUT027,4245.194584167892
NCO06,OUT017,712.7165775715602
FDO16,OUT035,1571.6185623961758
FDC60,OUT049,1583.79718369345
FDA48,OUT018,3145.51721124165
FDZ36,OUT027,4385.156746067441
FDK27,OUT045,1903.7984631908146
FDW23,OUT018,466.75738238384577
FDM14,OUT018,1544.504242623269
FDM14,OUT013,1816.337530685259
FDW60,OUT018,2584.706191222578
FDE21,OUT013,1935.1628938239467
NCM42,OUT035,1905.2092258516423
FDY59,OUT010,-309.32305103051533
DRI49,OUT049,1411.5388234812997
FDT28,OUT019,535.7781668940239
FDQ22,OUT018,495.5047825246628
FDR60,OUT049,1380.745994678865
FDC50,OUT019,-338.05187947546415
FDV24,OUT013,2434.319246369884
DRF48,OUT010,1067.5997813141935
FDQ47,OUT046,708.829415087936
DRN36,OUT049,1687.7225403142097
NCY06,OUT035,2182.236998795431
FDE52,OUT035,1681.5573784136095
NCB54,OUT045,1954.6044396155928
NCF31,OUT035,2539.167106655793
FDJ08,OUT027,4384.000093614817
NCC07,OUT017,1818.904404222833
NCD19,OUT027,2366.9293778848187
FDL46,OUT049,2031.5566478131798
FDM20,OUT045,3754.5435365370827
NCI06,OUT010,935.461070949364
DRM11,OUT035,4120.016349934883
NCH07,OUT018,2207.862399859308
FDS23,OUT013,2092.9419041962747
FDO49,OUT018,674.3598330118006
FDS35,OUT049,1218.5367943246458
DRK39,OUT045,1301.1402508745682
DRI39,OUT049,1095.0766977869753
FDV04,OUT017,2619.0226557046894
NCN14,OUT035,2973.5855901530135
FDH08,OUT013,3633.8402067336515
FDS20,OUT046,2870.92096250644
FDV40,OUT049,1397.8865336706826
FDZ48,OUT010,-82.62756841210091
FDS24,OUT027,2925.7642042165708
FDK44,OUT049,2832.8254916482565
FDS48,OUT045,2341.0878495190555
FDK26,OUT010,1107.0589083672198
FDD23,OUT045,2938.163902763761
NCH54,OUT017,2624.0805998627166
NCP14,OUT010,-190.33806472314313
FDM60,OUT010,-1084.3882037405092
FDV24,OUT017,2492.2820142895584
FDH08,OUT018,3299.7900819652345
FDS12,OUT027,3444.9290536412873
FDR39,OUT027,4258.044105971733
FDP12,OUT027,2171.85078998661
DRF60,OUT027,5066.991564997615
FDC09,OUT035,1878.9349656674212
FDF50,OUT018,2822.8054524076942
FDG28,OUT035,3962.209182189378
NCE19,OUT017,1047.2090953539225
NCM53,OUT010,-135.00594918849083
NCN18,OUT049,1870.4306155310744
FDF32,OUT035,3255.03776265364
FDF11,OUT013,3798.2261782588444
DRI59,OUT049,3582.6642222914224
NCG54,OUT035,2782.2450528089917
FDM44,OUT046,1669.1267847389922
FDT57,OUT018,3410.94767015568
FDV24,OUT046,2384.6890729555817
FDI50,OUT019,1725.3663501227052
FDS09,OUT035,1098.5132638343794
NCC31,OUT027,3858.41943380705
FDQ07,OUT019,1568.2391572157762
FDC22,OUT017,3124.1741015231096
FDZ56,OUT046,2677.918092533383
FDZ40,OUT019,-895.2611901599223
FDS46,OUT027,3385.9420024418596
DRD24,OUT045,2168.5298403789534
FDV45,OUT017,3072.1012983231803
FDL26,OUT045,2407.0890856882133
FDA56,OUT018,1736.1229777493863
FDN27,OUT046,1917.0615819583595
FDM20,OUT049,3901.7134442014117
FDO16,OUT017,1503.3151845426587
FDL03,OUT035,3255.2388967859324
FDE58,OUT046,1895.665647500205
FDI02,OUT027,3275.1291765257674
NCC55,OUT019,-1159.163931673189
FDR03,OUT018,3003.474471598256
FDB14,OUT017,1666.3629986797791
FDR45,OUT013,3776.7260882635514
NCN07,OUT017,2170.272127165631
FDM51,OUT019,-131.3667565053654
FDT52,OUT027,5258.461170750712
FDL26,OUT046,2441.7734938711046
NCZ42,OUT046,3681.8038385852183
DRI47,OUT019,448.70341688046403
FDW40,OUT013,2318.366851008101
FDN34,OUT046,2712.002542087004
FDS01,OUT035,2960.725286789701
NCG55,OUT045,1800.6226559182107
FDC11,OUT035,1579.9255294908994
FDX35,OUT018,3285.91471232653
NCB06,OUT046,2499.741017263157
FDR09,OUT019,2138.7171551333936
FDC53,OUT017,1714.8616317028225
FDY45,OUT013,3992.0741936374316
FDA22,OUT010,769.6093052421252
FDE02,OUT035,1699.7014550863084
FDW21,OUT045,1649.707571996673
FDV34,OUT046,1302.7961907190006
FDS59,OUT049,1929.0572538749213
NCW17,OUT017,2142.823918786848
NCK54,OUT046,1874.1525183042636
FDG17,OUT019,1965.6419314446093
FDG35,OUT017,2886.2385405464793
FDD08,OUT010,-1142.0908615315852
NCO07,OUT017,3376.874544143081
FDJ10,OUT010,399.0914918332369
FDW36,OUT017,1807.054931558761
FDW21,OUT010,-151.24471339542936
FDY19,OUT017,2020.5324058782862
DRE03,OUT013,883.6719489079132
NCC55,OUT049,801.4737626112865
FDH52,OUT010,-724.1155334348578
FDO09,OUT017,4207.269125263728
FDU43,OUT045,3691.043189145537
FDX09,OUT010,875.748139852341
FDH40,OUT019,-441.4989339177931
FDW58,OUT017,1829.2757414071907
FDC47,OUT017,3614.9953945437014
NCR41,OUT035,1688.7719676071968
DRG49,OUT035,3903.9374959267648
FDC52,OUT027,3897.686893173941
FDY13,OUT046,1271.8655102722678
FDY35,OUT013,905.7875801525815
FDI35,OUT017,2963.0966569490433
NCU18,OUT049,2334.2690373347637
FDY33,OUT018,2277.570967309275
FDC15,OUT027,3888.5440021095346
FDU01,OUT049,3085.7507754494554
NCU42,OUT046,2651.4982676666355
NCV29,OUT018,2512.171883523685
NCY30,OUT017,2956.0576563340483
FDQ46,OUT049,1914.5482066515456
FDG58,OUT027,3897.816442477825
FDK33,OUT017,3439.0587687470625
NCD07,OUT045,1786.0267680887478
NCX29,OUT027,3688.20171610571
NCT42,OUT013,2375.8697751960112
DRN59,OUT035,961.1518977653843
FDI44,OUT035,1466.6911126408231
FDA45,OUT049,2881.5369420422835
FDP31,OUT045,1088.2634685234939
FDY01,OUT046,1873.4044125372213
FDT09,OUT018,1921.5054082794168
DRH03,OUT027,2974.6855360040217
FDA36,OUT018,2679.1267618549978
NCF31,OUT017,2509.3137612177225
FDG14,OUT049,2550.174987830437
FDG28,OUT027,5266.732441464928
FDU14,OUT049,3980.9516336711836
FDY47,OUT019,281.14984108219846
FDI56,OUT049,1595.487564557055
DRD01,OUT013,1050.7012726254459
FDM22,OUT046,1016.664955329153
FDH33,OUT013,807.7411289660736
DRZ24,OUT013,1921.769608689439
NCQ38,OUT046,1702.1334329069318
FDO16,OUT027,2843.50955793327
FDU07,OUT027,3797.888337630956
NCB07,OUT013,3047.5801372568767
FDU48,OUT045,2061.8065997946937
NCM43,OUT045,2530.25658475006
FDR31,OUT010,469.4088642882857
DRK49,OUT018,490.88449839047473
NCI30,OUT010,1884.1345990091859
DRD60,OUT017,2930.783632107584
NCG19,OUT046,3591.977412926098
FDH12,OUT035,1854.711571760199
FDM32,OUT035,1677.8247970082466
FDM27,OUT035,2630.7939422461586
NCU53,OUT027,4017.4207130953528
NCQ18,OUT046,1577.403421682289
FDS10,OUT013,2861.501325056459
FDB33,OUT027,3933.532957635449
FDI12,OUT013,1499.6871484476644
NCW42,OUT013,3451.7736717459
NCC06,OUT018,1786.2184459407658
FDW02,OUT017,2174.3975903488176
NCD43,OUT017,1792.2111405203652
FDM57,OUT018,1164.2582284560235
FDA58,OUT017,3760.6985788443453
FDK56,OUT046,2881.2946608244624
FDP52,OUT045,3567.8313206941402
FDW20,OUT018,1747.9831096567646
FDS52,OUT049,1768.9791920219855
NCT29,OUT018,1643.9285799113718
NCL54,OUT013,2779.4358535872298
FDC05,OUT045,3068.0424160072193
FDF34,OUT035,3274.572116871833
FDP03,OUT027,3469.060879972367
FDD32,OUT010,-430.46710728944333
FDZ10,OUT045,1995.6699139742875
FDZ40,OUT035,1113.4814755316243
FDD51,OUT018,530.4422153339572
NCY30,OUT019,946.1189265503284
FDP58,OUT017,3471.4056344695628
FDV49,OUT017,4189.568485352695
FDY24,OUT019,-925.0174984369924
NCO55,OUT017,1814.3650685899142
FDR13,OUT017,2041.4956644931087
FDS51,OUT017,1191.916812151792
FDP26,OUT045,1629.4316168194316
NCB54,OUT027,3474.2844207747085
FDF32,OUT017,3183.683242000658
FDN31,OUT018,2697.426419831302
DRM48,OUT017,759.9510805292821
FDN20,OUT049,2782.082488151704
DRL01,OUT046,3623.8390526651838
